date,Avg prices across India,value
01-04-2006,Minimum,219.0806452
01-04-2006,Maximun,365
01-04-2006,Modal,302.3064516
01-04-2007,Minimum,393.8225806
01-04-2007,Maximun,639.483871
01-04-2007,Modal,541.5806452
01-04-2008,Minimum,266.9677419
01-04-2008,Maximun,431.9516129
01-04-2008,Modal,365.516129
01-04-2009,Minimum,428.4354839
01-04-2009,Maximun,680.4677419
01-04-2009,Modal,581.0967742
01-04-2010,Minimum,413.4354839
01-04-2010,Maximun,717.9516129
01-04-2010,Modal,598.5483871
01-04-2011,Minimum,370.4354839
01-04-2011,Maximun,657.8225806
01-04-2011,Modal,541.7580645
01-04-2012,Minimum,335.1612903
01-04-2012,Maximun,601.6774194
01-04-2012,Modal,496.7580645
01-04-2013,Minimum,703.4032258
01-04-2013,Maximun,1108.419355
01-04-2013,Modal,940.1290323
01-04-2014,Minimum,554.8064516
01-04-2014,Maximun,1136.66129
01-04-2014,Modal,863.9193548
01-04-2015,Minimum,852.3225806
01-04-2015,Maximun,1460.080645
01-04-2015,Modal,1205.193548
